Season,Round,TrackType,Circuit,Weather,Rainfall,Driver,Team,GridPosition,FinishingPosition,Q1,Q2,Q3
2018,11,Mid-Circuit,Hockenheim,26.40192307692308,0,VAN,McLaren,19,13,74.401,1000,1000
2018,11,Mid-Circuit,Hockenheim,26.40192307692308,0,GAS,Toro Rosso,16,14,73.749,1000,1000
2018,11,Mid-Circuit,Hockenheim,26.40192307692308,0,LEC,Sauber,9,15,73.077,72.995,72.717
2018,11,Mid-Circuit,Hockenheim,26.40192307692308,0,ALO,McLaren,11,16,73.614,73.657,1000
2018,11,Mid-Circuit,Hockenheim,26.40192307692308,0,STR,Williams,18,17,74.206,1000,1000
2018,11,Mid-Circuit,Hockenheim,26.40192307692308,0,VET,Ferrari,1,18,72.538,72.505,71.212
2018,11,Mid-Circuit,Hockenheim,26.40192307692308,0,SIR,Williams,12,19,73.708,73.702,1000
2018,11,Mid-Circuit,Hockenheim,26.40192307692308,0,RIC,Red Bull Racing,20,20,73.318,1000,1000
2018,12,Low-Circuit,Budapest,33.75887850467289,0,HAM,Mercedes,1,1,77.419,91.242,95.658
2018,12,Low-Circuit,Budapest,33.75887850467289,0,VET,Ferrari,4,2,76.666,88.636,96.21
2018,12,Low-Circuit,Budapest,33.75887850467289,0,RAI,Ferrari,3,3,77.526,92.762,96.186
2018,12,Low-Circuit,Budapest,33.75887850467289,0,RIC,Red Bull Racing,12,4,78.53999999999999,96.442,1000
2018,12,Low-Circuit,Budapest,33.75887850467289,0,BOT,Mercedes,2,5,77.123,92.081,95.918
2018,12,Low-Circuit,Budapest,33.75887850467289,0,GAS,Toro Rosso,6,6,78.577,91.286,97.591
2018,12,Low-Circuit,Budapest,33.75887850467289,0,MAG,Haas F1 Team,9,7,78.314,92.968,99.858
2018,12,Low-Circuit,Budapest,33.75887850467289,0,ALO,McLaren,11,8,78.208,95.214,1000
2018,12,Low-Circuit,Budapest,33.75887850467289,0,SAI,Renault,5,9,77.82900000000001,90.771,96.743
2018,12,Low-Circuit,Budapest,33.75887850467289,0,GRO,Haas F1 Team,10,10,77.901,93.65,100.593
2018,12,Low-Circuit,Budapest,33.75887850467289,0,HAR,Toro Rosso,8,11,78.429,92.59,98.128
2018,12,Low-Circuit,Budapest,33.75887850467289,0,HUL,Renault,13,12,77.905,96.506,1000
2018,12,Low-Circuit,Budapest,33.75887850467289,0,OCO,Force India,18,13,79.142,1000,1000
2018,12,Low-Circuit,Budapest,33.75887850467289,0,PER,Force India,19,14,79.2,1000,1000
2018,12,Low-Circuit,Budapest,33.75887850467289,0,ERI,Sauber,14,15,78.64099999999999,97.075,1000
2018,12,Low-Circuit,Budapest,33.75887850467289,0,SIR,Williams,20,16,79.301,1000,1000
2018,12,Low-Circuit,Budapest,33.75887850467289,0,STR,Williams,15,17,78.56,1000,1000
2018,12,Low-Circuit,Budapest,33.75887850467289,0,VAN,McLaren,16,18,78.782,1000,1000
2018,12,Low-Circuit,Budapest,33.75887850467289,0,VER,Red Bull Racing,7,19,76.94,91.178,98.032
2018,12,Low-Circuit,Budapest,33.75887850467289,0,LEC,Sauber,17,20,78.81700000000001,1000,1000
2018,13,High-Circuit,Spa-Francorchamps,17.327358490566038,0,VET,Ferrari,2,1,103.035,101.501,118.905
2018,13,High-Circuit,Spa-Francorchamps,17.327358490566038,0,HAM,Mercedes,1,2,102.977,101.553,118.179
2018,13,High-Circuit,Spa-Francorchamps,17.327358490566038,0,VER,Red Bull Racing,7,3,103.199,102.554,122.769
2018,13,High-Circuit,Spa-Francorchamps,17.327358490566038,0,BOT,Mercedes,19,4,102.805,102.191,1000
2018,13,High-Circuit,Spa-Francorchamps,17.327358490566038,0,PER,Racing Point,4,5,104.004,103.014,121.894
2018,13,High-Circuit,Spa-Francorchamps,17.327358490566038,0,OCO,Racing Point,3,6,104.003,103.302,121.851
2018,13,High-Circuit,Spa-Francorchamps,17.327358490566038,0,GRO,Haas F1 Team,5,7,103.597,103.042,122.122
2018,13,High-Circuit,Spa-Francorchamps,17.327358490566038,0,MAG,Haas F1 Team,9,8,103.834,103.32,124.933
2018,13,High-Circuit,Spa-Francorchamps,17.327358490566038,0,GAS,Toro Rosso,10,9,104.221,103.844,1000
2018,13,High-Circuit,Spa-Francorchamps,17.327358490566038,0,ERI,Sauber,13,10,103.846,104.301,1000
